category,swap_events,pct_of_swap_events
Stablecoin,182984804,39.331386984474903
Native Solana,177404146,38.131861042276961
Meme Coin,51082206,10.979786125883250
Unmapped,27665477,5.946513361825880
Cross-Chain Asset,18191049,3.910047021568770
Liquid Staking,5724170,1.230372908096356
Tokenized RWA,2013515,0.432791881800442
Other,173258,0.037240674073439
