token_mint,symbol,volume_usd,swap_events,user_swaps,avg_size_usd
6p6xgHyF7AeE6TZkSmFsko444wqoP15icUSqi2jfGiPN,TRUMP,243322126.32889506,1866761,1862602,130.34455204972411
DEkqHyPN7GMRJ5cArtQFAWefqbZb33Hyf6s5iCwjEonT,USDe,183642541.6172301,41092,39832,4469.058250200284
jupSoLaHXQiZZTSfEWMTRRgpnyFm8f6sZdosWBjx93v,JUPSOL,164449017.86651853,345470,345606,476.01533524334536
CtzPWv73Sn1dMGVU3ZtLv9yWSyUAanBni19YWDaznnkn,xBTC,156874045.64181092,821711,834400,190.9114587024038
JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,JUP,143823830.25685328,2316976,2376909,62.07394045378687
5oVNBeEEQvYi1cX3ir8Dx5n1P7pdxydbGF2X4TxVusJm,SCNSOL,128629306.5091863,196151,197715,655.7667639175243
7GxATsNMnaC88vdwd2t3mwrFuQwwGvmYPrUQ4D6FotXk,jlJupUSD,100160774.17819524,6013,5968,16657.37139168389
mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,MSOL,96016861.86113648,1475892,1510721,65.05683468786096
Dfh5DzRgSvvCFDoYc2ciTkMrbDfRKybA4SoFbPmApump,PIPPIN,89395574.4203929,621259,637335,143.8942122695895
USDSwr9ApdHk5bvJKMjzff41FfuX8bSxdKcR81vTwcA,USDS,84692620.97663502,546123,543568,155.07975488422028
6FrrzDk5mQARGc1TDYoyVnSyRdds1t4PbtohCD6p3tgG,USX,81722117.7105815,87573,87101,933.1885137037842
Dz9mQ9NzkBcCsuGPFJ3r1bS4wgqKMHBPiVuniW8Mbonk,USELESS,73715888.56742328,883387,864674,83.44687953006246
AymATz4TCL9sWNEEV9Kvyz45CHVhDZ6kUgjTJPzLpU9P,XAUt0,70145109.49931088,235937,235929,297.3044054103887
2zMMhcVQEXDtdE6vsFS7S7D5oUodfJHE8vd1gnBouauv,PENGU,68296821.3981759,891322,899553,76.62418452385995
DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,BONK,62726407.5149236,1244711,1235801,50.394354605144166
CASHx9KJUStyftLFWGvEVf59SGeG9sh5FfcnZMVPCASH,CASH,60057395.41513491,33037,32292,1817.8828409097348
METvsvVRapdj9cFLzq4Tr43xK4tAjQfwX76z3n6mWQL,MET,37869219.09066628,731096,742545,51.79787482172831
XsueG8BtpquVJX9LVLLEGuViXUungE6WmK5YZ3p3bd1,CRCLx,35775102.43704301,186577,184547,191.74444029565817
SKRbvo6Gf7GondiT3BbTfuRDPqLWei4j2Qy2NPGZhW3,SKR,31667768.71619277,1035751,1045544,30.574692871349168
5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2,TROLL,29242332.085181024,169554,163196,172.46618826557335
5Y8NV33Vv7WbnLfq3zBcKSdYPrk7g2KoiQoe7M2tcxp5,ONyc,26940960.334066134,152733,145601,176.39253032459348
XsoCS1TfEyfFhfvj8EtZ528L3CaKBDBRqRapnBbDF2W,SPYx,26874217.47450518,164077,163812,163.79027818954015
KMNo3nJsBXfcpJTVhZcXLW7RmTwTt4GVFE7suUBo9sS,KMNO,25859490.871087477,772604,737252,33.47056301946078
61V8vBaqAGMpgDQi4JcAwo1dmBGHsyhzodcPqnEVpump,ARC,25635701.94355613,273832,275534,93.61835703481015
XsDoVfqeBukxuZHWhdvWHBhgEHjGNst4MLodqsJHzoB,TSLAx,22979291.78097504,246970,244096,93.04487095993457
Xs8S1uUs1zvS2p7iwtsG3b6fkhpvmwz4GYU3gWAmWHZ,QQQx,20973869.479509626,114251,108510,183.57711949575605
Xsc9qvGR1efVDFGLrVsmkzv3qi45LTBjeUKSPmx9qEh,NVDAx,19813782.34749352,187414,187730,105.72199700926035
bSo13r4TkiE4KumL71LsHTPpL2euBYLFx6h9HP3piy1,BSOL,18006502.106683627,245039,240298,73.48422947646549
CrAr4RRJMBVwRsZtT62pEhfA9H5utymC2mVx8e7FreP2,MON,17447480.47917968,625946,626548,27.873779014770733
HzwqbKZw8HxMN6bF2yFZNrht3c2iXXzpKcFu7uBEDKtr,EURC,17236876.157034297,566719,582389,30.415207813809484
ZBCNpuD7YMXzTHB2fhGkGi78MNsHGLRXUhRewNRm9RU,ZBCN,16965343.929157283,142463,138171,119.08596568342155
jtojtomepa8beP8AuQc6eXt5FriJwfFMwQx2v2f9mCL,JTO,15992076.300876064,141508,146102,113.01181771261034
DBRiDgJAMsM95moTzJs7M9LnkGErpbv9v6CUR1DXnUu5,DBR,14945286.048252504,159468,159515,93.71965565663646
4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,RAY,14661363.884608308,588703,592794,24.904517022349655
FeR8VBqNRSUD5NtXAj2n3j1dAHkZHfyDktKuLXD4pump,jellyjelly,14120422.116509574,99023,101352,142.59739774102556
