week,category,swap_events,pct_of_week
2026-03-09 00:00:00.000 UTC,Meme Coin,2229334,10.822970641422484
2026-03-09 00:00:00.000 UTC,Unmapped,1140427,5.536544967997401
2026-03-09 00:00:00.000 UTC,Cross-Chain Asset,592646,2.877177784377069
2026-03-09 00:00:00.000 UTC,Liquid Staking,202753,0.984325258781471
2026-03-09 00:00:00.000 UTC,Tokenized RWA,47647,0.231316654279645
2026-03-16 00:00:00.000 UTC,Stablecoin,7157931,40.167818701436763
2026-03-16 00:00:00.000 UTC,Native Solana,6781271,38.054133812314030
2026-03-16 00:00:00.000 UTC,Meme Coin,2245469,12.600790883803784
2026-03-16 00:00:00.000 UTC,Unmapped,969952,5.443033201227560
2026-03-16 00:00:00.000 UTC,Cross-Chain Asset,454029,2.547852802324391
2026-03-16 00:00:00.000 UTC,Liquid Staking,158894,0.891657852631730
2026-03-16 00:00:00.000 UTC,Tokenized RWA,52518,0.294712746261742
2026-03-23 00:00:00.000 UTC,Native Solana,6554613,40.024406864942167
2026-03-23 00:00:00.000 UTC,Stablecoin,6154208,37.579415432075396
2026-03-23 00:00:00.000 UTC,Meme Coin,2083532,12.722663028942622
2026-03-23 00:00:00.000 UTC,Unmapped,1081297,6.602719499967637
2026-03-23 00:00:00.000 UTC,Cross-Chain Asset,324173,1.979496279433873
2026-03-23 00:00:00.000 UTC,Liquid Staking,122385,0.747319030759855
2026-03-23 00:00:00.000 UTC,Tokenized RWA,55280,0.337556040531150
2026-03-23 00:00:00.000 UTC,Other,1052,0.006423823347300
2026-03-30 00:00:00.000 UTC,Native Solana,6002148,39.391162316463499
2026-03-30 00:00:00.000 UTC,Stablecoin,5897226,38.702575575088913
2026-03-30 00:00:00.000 UTC,Meme Coin,1620646,10.636047235677511
2026-03-30 00:00:00.000 UTC,Unmapped,935916,6.142270912109340
2026-03-30 00:00:00.000 UTC,Cross-Chain Asset,568240,3.729270600242983
2026-03-30 00:00:00.000 UTC,Liquid Staking,144090,0.945640223829740
2026-03-30 00:00:00.000 UTC,Tokenized RWA,61492,0.403562416848764
2026-03-30 00:00:00.000 UTC,Other,7538,0.049470719739250
2026-04-06 00:00:00.000 UTC,Native Solana,7366875,43.790497758455552
2026-04-06 00:00:00.000 UTC,Stablecoin,6047536,35.948025676040283
2026-04-06 00:00:00.000 UTC,Meme Coin,1527125,9.077602631968295
2026-04-06 00:00:00.000 UTC,Unmapped,1062425,6.315312745367220
2026-04-06 00:00:00.000 UTC,Cross-Chain Asset,623848,3.708304327902534
2026-04-06 00:00:00.000 UTC,Liquid Staking,122983,0.731040880404261
2026-04-06 00:00:00.000 UTC,Tokenized RWA,62782,0.373191486250460
2026-04-06 00:00:00.000 UTC,Other,9425,0.056024493611395
2026-04-13 00:00:00.000 UTC,Native Solana,8233589,44.611603930611785
2026-04-13 00:00:00.000 UTC,Stablecoin,6507380,35.258580333070368
2026-04-13 00:00:00.000 UTC,Meme Coin,1541324,8.351271337049527
2026-04-13 00:00:00.000 UTC,Unmapped,1020704,5.530424530346508
