category,transactions,total_fees_usd,volume_usd,avg_fee_usd,fee_bps
Unmapped,19278,36272.949634908284,9300473.746640665,1.881572239594786,39.00118491061822
Meme Coin,146437,113433.40004988763,30064465.309436377,0.774622534263114,37.73005735587925
Native Solana,9304745,602461.1184850787,188208609.3183222,0.06474773016187749,32.01028479340816
Tokenized RWA,6581,536.2921882453842,174611.92615957398,0.08149098742522172,30.713376803098697
Stablecoin,916364,602866.3105408236,260612857.67028594,0.657889561943533,23.13263880877049
Liquid Staking,41148,8802.162844463273,7051678.849337497,0.21391471868531334,12.482364884342733
Cross-Chain Asset,64656,15895.192720133813,14695883.70565656,0.24584250062072838,10.816084992572193
